date,value
2020-01-01,-0.38054738189047366
2020-01-02,-1.0270801288382383
2020-01-03,-2.741462527169077
2020-01-04,-5.821653967181618
2020-01-05,-7.697391296768904
2020-01-06,-8.32823086173245
2020-01-07,-6.288028872043284
2020-01-08,-5.380655572323225
2020-01-09,-7.865767699515595
2020-01-10,-9.377013994158709
2020-01-11,-8.843190860090523
2020-01-12,-8.064862596550569
2020-01-13,-10.451477998226775
2020-01-14,-12.866998336324347
2020-01-15,-13.83686974943686
2020-01-16,-15.147347097298162
2020-01-17,-18.21241961391522
2020-01-18,-22.014559083986192
2020-01-19,-23.69663837160922
2020-01-20,-22.47669059407001
2020-01-21,-21.04444012557207
2020-01-22,-21.384074710260393
2020-01-23,-22.271613064499718
2020-01-24,-24.080306251070212
2020-01-25,-27.338933148745447
2020-01-26,-30.304662921873085
2020-01-27,-31.441358298625097
2020-01-28,-31.490802304006955
2020-01-29,-32.70871172160121
2020-01-30,-34.72378405041195
2020-01-31,-36.383293753042906
2020-02-01,-38.93178479715989
2020-02-02,-41.39740163806399
2020-02-03,-43.669735760343755
2020-02-04,-47.01230042220316
2020-02-05,-50.01282311826774
2020-02-06,-51.27380977073669
2020-02-07,-52.2164653451309
2020-02-08,-51.83008263030709
2020-02-09,-50.35459187124788
2020-02-10,-48.9655309585755
2020-02-11,-47.17511201358178
2020-02-12,-44.77113533042409
2020-02-13,-41.84955384326212
2020-02-14,-39.37597314624727
2020-02-15,-37.404321499385084
2020-02-16,-35.10705908711203
2020-02-17,-32.387532201771016
2020-02-18,-30.11616707675922
2020-02-19,-28.98999656937094
2020-02-20,-29.535461442536757
2020-02-21,-30.474547370234557
2020-02-22,-30.054798604398574
2020-02-23,-28.573076122099295
2020-02-24,-27.69735570595255
2020-02-25,-26.957696296640613
2020-02-26,-27.583666434763398
2020-02-27,-30.229022963199206
2020-02-28,-32.557168368772295
2020-02-29,-34.060476800312095
2020-03-01,-36.00525290907892
2020-03-02,-36.71849607128677
2020-03-03,-35.84043392031219
2020-03-04,-35.339591933134905
2020-03-05,-36.566850329156736
2020-03-06,-37.8274888608626
2020-03-07,-37.88245248428594
2020-03-08,-37.70503452647316
2020-03-09,-36.650005283679455
2020-03-10,-34.01443211591336
2020-03-11,-30.97379407334636
2020-03-12,-28.63746117391901
2020-03-13,-25.693657489821074
2020-03-14,-22.196585857166998
