school_id,country,school_name,school_homepage_url,program_count,undergrad_count,master_count,phd_count,certificate_count,other_count,with_tuition_count,with_deadline_count,with_duration_count,with_requirement_count
US00001,usa,"Southern Illinois University, Edwardsville",https://collegedunia.com/usa/university/556-southern-illinois-university-edwardsville,12,2,10,0,0,0,12,5,12,12
US00002,usa,University at Albany (SUNY Albany),https://collegedunia.com/usa/university/881-university-at-albany-albany,79,30,45,4,0,0,79,2,79,79
US00003,usa,Northern State University,https://collegedunia.com/usa/university/882-northern-state-university-aberdeen,41,29,12,0,0,0,41,0,41,41
US00004,usa,Abilene Christian University (ACU),https://collegedunia.com/usa/university/883-abilene-christian-university-abilene,44,31,13,0,0,0,44,1,44,44
US00005,usa,Ohio Northern University,https://collegedunia.com/usa/university/884-ohio-northern-university-ada,52,41,11,0,0,0,52,0,52,52
US00006,usa,University of South Carolina [USCA] - Aiken,https://collegedunia.com/usa/university/886-university-of-south-carolina-aiken,182,63,75,41,0,3,182,6,182,182
US00007,usa,University of Akron,https://collegedunia.com/usa/university/887-university-of-akron-akron,118,56,61,0,0,1,118,1,118,118
US00008,usa,Albany Medical College,https://collegedunia.com/usa/college/890-albany-medical-college-albany,6,0,6,0,0,0,0,0,6,6
US00009,usa,State University of New York Polytechnic Institute (SUNY Poly),https://collegedunia.com/usa/university/892-state-university-of-new-york-polytechnic-institute-albany,33,16,17,0,0,0,33,4,33,33
US00010,usa,Alfred State College,https://collegedunia.com/usa/college/893-alfred-state-college-alfred,22,14,8,0,0,0,0,0,22,22
US00011,usa,Albion College,https://collegedunia.com/usa/college/894-albion-college-albion,40,33,7,0,0,0,0,0,40,40
US00012,usa,University of New Mexico (UNM),https://collegedunia.com/usa/university/895-university-of-new-mexico-albuquerque,172,72,64,35,0,1,172,25,172,172
US00014,usa,Alfred University,https://collegedunia.com/usa/university/897-alfred-university-alfred,44,34,10,0,0,0,44,0,44,44
US00015,usa,Alliant International University,https://collegedunia.com/usa/university/899-alliant-international-university-san-diego,4,2,2,0,0,0,4,0,4,4
US00016,usa,Grand Valley State University,https://collegedunia.com/usa/university/901-grand-valley-state-university-allendale,87,50,37,0,0,0,87,85,87,87
US00017,usa,Muhlenberg College,https://collegedunia.com/usa/college/903-muhlenberg-college-allentown,35,30,5,0,0,0,0,0,35,35
US00018,usa,University of Mount Union,https://collegedunia.com/usa/university/904-university-of-mount-union-alliance,65,50,14,0,1,0,65,0,65,65
US00019,usa,Alma College,https://collegedunia.com/usa/college/905-alma-college-alma,40,36,4,0,0,0,0,1,40,40
US00020,usa,Iowa State University,https://collegedunia.com/usa/university/906-iowa-state-university-ames,160,91,68,1,0,0,0,10,160,160
US00021,usa,"University of Massachusetts, Amherst (UMass)",https://collegedunia.com/usa/university/907-university-of-massachusetts-amherst,156,73,81,2,0,0,156,6,156,156
