school_id,school_name
"USA (Total: 933, Unique School Number: 852)",
US00004,Abilene Christian University Abilene
US00306,Adelphi University Garden City
US00512,Alabama State University Montgomery
US00026,Alaska Pacific University Anchorage
US00008,Albany Medical College Albany
US00011,Albion College Albion
US00013,Alcorn State University Alcorn
US00907,Alfred Lerner College Of Business And Economics The University Of Delaware Newark
US00010,Alfred State College Alfred
US00014,Alfred University Alfred
US00480,Allegheny College Meadville
US00015,Alliant International University San Diego
US00019,Alma College Alma
US00748,American International College Springfield
US00155,American Public University Charles Town
US00828,American University Washington
US00022,Amherst College Amherst
US00027,Anderson University Indiana Anderson
US00028,Anderson University South Carolina Anderson
US00077,Andrews University Berrien Springs
US00029,Angelo State University San Angelo
US00095,Appalachian State University Boone
US00313,Arcadia University Glenside
US00782,Arizona State University Tempe
US00392,Arkansas State University Jonesboro
US00674,Arkansas Tech University Russellville
US00040,Ashland University Ashland
US00862,Assumption College Worcester
US00493,Atlantis University Miami
US00511,Auburn University At Montgomery Montgomery
US00051,Auburn University Auburn
US00500,Augsburg University Minneapolis
US00052,Augusta University Augusta
US00670,Augustana College Rock Island
US00736,Augustana University Sioux Falls
US00053,Aurora University Aurora
US00732,Austin College Sherman
US00188,Austin Peay State University Clarksville
US00398,Avila University Kansas City
US00056,Azusa Pacific University Azusa
US00834,Babson College Wellesley
US00059,Baker University Baldwin City
US00074,Baldwin Wallace University Berea
US00523,Ball State University Muncie
US00554,Bard College Annandale On Hudson
US00320,Bard College At Simons Rock Great Barrington
US00560,Barnard College New York City
US00491,Barry University Miami Shores
US00555,Baruch College New York City
US00431,Bates College Lewiston
US00443,Bay Path University Longmeadow
US00816,Baylor University Waco
US00904,Beacom School Of Business Vermillion
US00863,Becker College Worcester
US00457,Bellarmine University Louisville
US00069,Bellevue College Bellevue
US00068,Bellevue University Bellevue
US00529,Belmont University Nashville
US00071,Beloit College Beloit
US00073,Bemidji State University Bemidji
US00436,Benedictine University Lisle
US00818,Bentley University Waltham
US00075,Berea College Berea
US00520,Berry College Mount Berry
US00687,Bethel University Saint Paul
US00084,Binghamton University Binghamton
US00413,Biola University La Mirada
US00743,Black Hills State University Spearfish
US00090,Bloomsburg University Of Pennsylvania Bloomsburg
US00091,Bluffton University Bluffton
US00328,Bob Jones University Greenville
US00094,Boise State University Boise
US00103,Boston Architectural College Boston
US00115,Boston College Chestnut Hill
US00096,Boston University Boston
US00126,Bowdoin College Brunswick
US00110,Bowie State University Bowie
US00112,Bowling Green State University Bowling Green
US00601,Bradley University Peoria
US00817,Brandeis University Waltham
US00114,Bridgewater State University Bridgewater
US00653,Brigham Young University Idaho Rexburg
US00640,Brigham Young University Provo
US00552,Brooklyn College Brooklyn
US00636,Brown University Providence
US00737,Bryant University Smithfield
US00127,Bryn Mawr College Bryn Mawr
US00430,Bucknell University Lewisburg
US00129,Buffalo State Buffalo
US00373,Butler University Indianapolis
US00665,California Baptist University Riverside
US00598,California Institute Of Technology Pasadena
US00787,California Lutheran University Thousand Oaks
US00706,California Miramar University San Diego
US00711,California Polytechnic State University San Luis Obispo
US00621,California State Polytechnic University Pomona
US00058,California State University Bakersfield
US00139,California State University Channel Islands Camarillo
US00180,California State University Chico
US00924,California State University Dominguez Hills Carson
US00347,California State University East Bay Hayward
US00298,California State University Fresno
US00301,California State University Fullerton Fullerton
US00442,California State University Long Beach
US00450,California State University Los Angeles
US00726,California State University Monterey Bay Seaside
US00448,California State University Northridge
US00676,California State University Sacramento
US00700,California State University San Bernardino
US00713,California State University San Marcos
US00798,California State University Stanislaus Turlock
US00024,California University Of Management And Sciences Anaheim
US00138,California University Of Pennsylvania California
US00317,Calvin College Grand Rapids
US00105,Cambridge College Boston
US00429,Cameron University Lawton
US00133,Campbell University Buies Creek
US00205,Capital University Columbus
US00576,Carleton College Northfield
US00891,Carlson School Of Management Minneapolis
US00612,Carnegie Mellon University Pittsburgh
US00830,Carroll University Waukesha
US00190,Case Western Reserve University Cleveland
US00149,Castleton University Castleton
US00824,Catholic University Of America Washington
US00153,Cedarville University Cedarville
US00532,Central Connecticut State University New Britain
US00521,Central Michigan University Mount Pleasant
US00257,Central Washington University Ellensburg
US00221,Centre College Danville
US00135,Champlain College Burlington
US00589,Chapman University Orange
US00615,Chatham University Pittsburgh
US00177,Chicago State University Chicago
US00486,Christian Brothers University Memphis
US00565,Christopher Newport University Newport News
US00729,City University Of Seattle Seattle
US00590,Claflin University Orangeburg
US00183,Claremont Mckenna College Claremont
US00187,Clarion University Of Pennsylvania Clarion
US00048,Clark Atlanta University Atlanta
US00860,Clark University Worcester
US00629,Clarkson University Potsdam
US00518,Clayton State University Morrow
US00189,Clemson University Clemson
US00191,Cleveland State University Cleveland
US00152,Coe College Cedar Rapids
US00829,Colby College Waterville
US00333,Colgate University Hamilton
US00905,College Of Business Albany State University Albany
US00901,College Of Business And Economics Lehigh University Bethlehem
US00915,College Of Business California State University Long Beach Long Beach
US00911,College Of Business Northern Illinois University Dekalb
