school_id,country,school_name,homepage_url,seed_kind,source
US00001,usa,Southern Illinois University Edwardsville,https://collegedunia.com/usa/university/556-southern-illinois-university-edwardsville,school_homepage,new_vs_265
US00002,usa,University At Albany Albany,https://collegedunia.com/usa/university/881-university-at-albany-albany,school_homepage,new_vs_265
US00003,usa,Northern State University Aberdeen,https://collegedunia.com/usa/university/882-northern-state-university-aberdeen,school_homepage,new_vs_265
US00004,usa,Abilene Christian University Abilene,https://collegedunia.com/usa/university/883-abilene-christian-university-abilene,school_homepage,new_vs_265
US00005,usa,Ohio Northern University Ada,https://collegedunia.com/usa/university/884-ohio-northern-university-ada,school_homepage,new_vs_265
US00006,usa,University Of South Carolina Aiken,https://collegedunia.com/usa/university/886-university-of-south-carolina-aiken,school_homepage,new_vs_265
US00007,usa,University Of Akron Akron,https://collegedunia.com/usa/university/887-university-of-akron-akron,school_homepage,new_vs_265
US00008,usa,Albany Medical College Albany,https://collegedunia.com/usa/college/890-albany-medical-college-albany,school_homepage,new_vs_265
US00009,usa,State University Of New York Polytechnic Institute Albany,https://collegedunia.com/usa/university/892-state-university-of-new-york-polytechnic-institute-albany,school_homepage,new_vs_265
US00010,usa,Alfred State College Alfred,https://collegedunia.com/usa/college/893-alfred-state-college-alfred,school_homepage,new_vs_265
US00011,usa,Albion College Albion,https://collegedunia.com/usa/college/894-albion-college-albion,school_homepage,new_vs_265
US00012,usa,University Of New Mexico Albuquerque,https://collegedunia.com/usa/university/895-university-of-new-mexico-albuquerque,school_homepage,new_vs_265
US00013,usa,Alcorn State University Alcorn,https://collegedunia.com/usa/university/896-alcorn-state-university-alcorn,school_homepage,usa_master_923_backfill
US00014,usa,Alfred University Alfred,https://collegedunia.com/usa/university/897-alfred-university-alfred,school_homepage,new_vs_265
US00015,usa,Alliant International University San Diego,https://collegedunia.com/usa/university/899-alliant-international-university-san-diego,school_homepage,new_vs_265
US00016,usa,Grand Valley State University Allendale,https://collegedunia.com/usa/university/901-grand-valley-state-university-allendale,school_homepage,new_vs_265
US00017,usa,Muhlenberg College Allentown,https://collegedunia.com/usa/college/903-muhlenberg-college-allentown,school_homepage,new_vs_265
US00018,usa,University Of Mount Union Alliance,https://collegedunia.com/usa/university/904-university-of-mount-union-alliance,school_homepage,new_vs_265
US00019,usa,Alma College Alma,https://collegedunia.com/usa/college/905-alma-college-alma,school_homepage,new_vs_265
US00020,usa,Iowa State University Ames,https://collegedunia.com/usa/university/906-iowa-state-university-ames,school_homepage,new_vs_265
US00021,usa,University Of Massachusetts Amherst,https://collegedunia.com/usa/university/907-university-of-massachusetts-amherst,school_homepage,new_vs_265
US00022,usa,Amherst College Amherst,https://collegedunia.com/usa/college/910-amherst-college-amherst,school_homepage,new_vs_265
US00023,usa,Hampshire College Amherst,https://collegedunia.com/usa/college/911-hampshire-college-amherst,school_homepage,new_vs_265
US00024,usa,California University Of Management And Sciences Anaheim,https://collegedunia.com/usa/university/913-california-university-of-management-and-sciences-anaheim,school_homepage,new_vs_265
US00025,usa,University Of Alaska Anchorage,https://collegedunia.com/usa/university/915-university-of-alaska-anchorage,school_homepage,usa_master_923_backfill
US00026,usa,Alaska Pacific University Anchorage,https://collegedunia.com/usa/university/916-alaska-pacific-university-anchorage,school_homepage,usa_master_923_backfill
US00027,usa,Anderson University Indiana Anderson,https://collegedunia.com/usa/university/917-anderson-university---indiana-anderson,school_homepage,usa_master_923_backfill
US00028,usa,Anderson University South Carolina Anderson,https://collegedunia.com/usa/university/918-anderson-university---south-carolina-anderson,school_homepage,usa_master_923_backfill
US00029,usa,Angelo State University San Angelo,https://collegedunia.com/usa/university/919-angelo-state-university-san-angelo,school_homepage,new_vs_265
US00030,usa,Trine University Angola,https://collegedunia.com/usa/university/920-trine-university-angola,school_homepage,new_vs_265
US00031,usa,University Of Michigan Ann Arbor,https://collegedunia.com/usa/university/921-university-of-michigan-ann-arbor,school_homepage,base_265
US00032,usa,Lebanon Valley College Annville,https://collegedunia.com/usa/college/923-lebanon-valley-college-annville,school_homepage,new_vs_265
US00033,usa,Lawrence University Appleton,https://collegedunia.com/usa/college/924-lawrence-university-appleton,school_homepage,new_vs_265
US00034,usa,Humboldt State University Arcata,https://collegedunia.com/usa/university/926-humboldt-state-university-arcata,school_homepage,new_vs_265
US00035,usa,Henderson State University Arkadelphia,https://collegedunia.com/usa/university/927-henderson-state-university-arkadelphia,school_homepage,usa_master_923_backfill
US00036,usa,University Of Texas Arlington,https://collegedunia.com/usa/university/928-university-of-texas-arlington,school_homepage,new_vs_265
US00037,usa,Marymount University Arlington,https://collegedunia.com/usa/university/929-marymount-university-arlington,school_homepage,usa_master_923_backfill
US00038,usa,University Of North Carolina Asheville,https://collegedunia.com/usa/university/931-university-of-north-carolina-asheville,school_homepage,usa_master_923_backfill
US00039,usa,Southern Oregon University Ashland,https://collegedunia.com/usa/university/932-southern-oregon-university-ashland,school_homepage,usa_master_923_backfill
US00040,usa,Ashland University Ashland,https://collegedunia.com/usa/university/933-ashland-university-ashland,school_homepage,new_vs_265
US00041,usa,Ohio University Athens,https://collegedunia.com/usa/university/936-ohio-university-athens,school_homepage,new_vs_265
US00042,usa,University Of Georgia Athens,https://collegedunia.com/usa/university/937-university-of-georgia-athens,school_homepage,new_vs_265
US00043,usa,Concord University Athens,https://collegedunia.com/usa/university/938-concord-university-athens,school_homepage,usa_master_923_backfill
US00044,usa,Tennessee Wesleyan University Athens,https://collegedunia.com/usa/university/940-tennessee-wesleyan-university-athens,school_homepage,usa_master_923_backfill
US00045,usa,Georgia Institute Of Technology Atlanta,https://collegedunia.com/usa/university/942-georgia-institute-of-technology-atlanta,school_homepage,base_265
US00046,usa,Emory University Atlanta,https://collegedunia.com/usa/university/943-emory-university-atlanta,school_homepage,base_265
